,sample,annotation
15959,пельмешек продсерв,"[(0, 9, 'B-TYPE'), (10, 18, 'B-BRAND')]"
6242,грущ,"[(0, 4, 'B-TYPE')]"
10598,крем доя лицо,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]"
2045,sladonezh прянико,"[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]"
24008,ту летна,"[(0, 7, 'B-TYPE')]"
18597,рисовый с малина,"[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]"
17644,про дук,"[(0, 6, 'B-TYPE')]"
5833,горчица елоч,"[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]"
4770,вилка пр ст,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]"
15842,паштет шпротный,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]"
20459,слоеноое,"[(0, 8, 'B-TYPE')]"
14658,об лож,"[(0, 5, 'B-TYPE')]"
27074,яйцо 2 сорт,"[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]"
6053,греч кап,"[(0, 7, 'B-TYPE')]"
26792,энернетики,"[(0, 10, 'B-TYPE')]"
21774,стерилизованный молочн,"[(0, 15, 'B-TYPE'), (16, 22, 'I-TYPE')]"
14630,нылесосы,"[(0, 8, 'B-TYPE')]"
18894,рыба крас,"[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]"
3091,бар аники,"[(0, 8, 'B-TYPE')]"
24990,хлеб кефирный,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
17151,помиборы,"[(0, 8, 'B-TYPE')]"
22692,сырокопчёный колбаса,"[(0, 12, 'B-TYPE'), (13, 19, 'I-TYPE')]"
16842,пн анасы,"[(0, 7, 'B-TYPE')]"
2178,tr,"[(0, 2, 'O')]"
15772,пастила marvel,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
24290,уп степ леры,"[(0, 2, 'B-BRAND'), (3, 11, 'B-TYPE')]"
2783,ардиганы,"[(0, 8, 'B-TYPE')]"
6100,гриб,"[(0, 6, 'B-TYPE')]"
11006,кукуруз нач,"[(0, 10, 'B-TYPE')]"
17933,пряж,"[(0, 4, 'B-TYPE')]"
23547,томатный,"[(0, 7, 'B-TYPE')]"
15591,панама bambu,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
25115,хлебопк,"[(0, 7, 'O')]"
5376,галнатерея,"[(0, 10, 'B-TYPE')]"
23273,тёмный шоколад,"[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]"
7654,иклер,"[(0, 5, 'B-TYPE')]"
25125,хлебцв,"[(0, 6, 'B-TYPE')]"
17975,птица дивный,"[(0, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]"
13788,му кп,"[(0, 4, 'B-TYPE')]"
4909,вишня,"[(0, 5, 'B-TYPE')]"
26923,яблоко тендер,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
5412,гарибальди сосать,"[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE')]"
25717,черноголовка кар амел,"[(0, 12, 'B-BRAND'), (13, 20, 'B-TYPE')]"
15783,пасха активи,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]"
26944,яблочный,"[(0, 8, 'B-TYPE')]"
4230,бычок в томат,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O')]"
24963,хлеб для оост,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]"
7019,жид,"[(0, 3, 'B-TYPE')]"
13198,молоко концентрированный,"[(0, 6, 'B-TYPE'), (7, 24, 'I-TYPE')]"
14491,ноицы,"[(0, 5, 'O')]"
14786,огкоец,"[(0, 6, 'B-TYPE')]"
10422,краз мал,"[(0, 7, 'B-TYPE')]"
13950,мюсли любятов,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]"
17155,помидаоы,"[(0, 8, 'B-TYPE')]"
10505,крахмал пищевой,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
5992,гренок штурв,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
1579,nadin кофейник,"[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE')]"
13459,мор кок,"[(0, 6, 'B-TYPE')]"
2968,базилик,"[(0, 7, 'B-TYPE')]"
13282,молочный коктейл,"[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]"
19308,сальчичон,"[(0, 9, 'B-TYPE')]"
25691,черкашин вет чи,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]"
967,grass ополаскивател,"[(0, 5, 'B-BRAND'), (6, 19, 'B-TYPE')]"
5547,гигиеническаю,"[(0, 13, 'B-TYPE')]"
10971,кукрузные,"[(0, 9, 'B-TYPE')]"
21457,специя,"[(0, 6, 'B-TYPE')]"
20537,сменный баллон,"[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]"
20370,сливка пр очи,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
1691,oreon,"[(0, 5, 'B-BRAND')]"
5293,газирлвка,"[(0, 9, 'B-TYPE')]"
23319,тереяки,"[(0, 7, 'B-TYPE')]"
20523,смач,"[(0, 4, 'B-TYPE')]"
658,dreeme,"[(0, 6, 'B-BRAND')]"
19139,салат с кальмар,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 18, 'O')]"
12805,мецелярная,"[(0, 10, 'B-TYPE')]"
14801,огородник уксус,"[(0, 11, 'B-BRAND'), (12, 17, 'B-TYPE')]"
4545,вафля,"[(0, 5, 'B-TYPE')]"
22079,сухарик доя панировка,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 22, 'O')]"
9037,кислый мармелад,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]"
4012,булочка ав ангар,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]"
17638,про биотики,"[(0, 10, 'B-TYPE')]"
16823,плоскёгубцы,"[(0, 11, 'B-TYPE')]"
549,cykoria кусок,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]"
25175,хлопоч,"[(0, 6, 'B-TYPE')]"
13082,мн даль,"[(0, 6, 'B-TYPE')]"
7134,завтрак бел лин,"[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]"
3131,батарейка,"[(0, 9, 'B-TYPE')]"
21230,сосиска грецкий орех,"[(0, 7, 'B-TYPE'), (8, 15, 'O'), (16, 21, 'O')]"
6626,добрый без са,"[(0, 6, 'B-BRAND'), (7, 10, 'O'), (11, 13, 'O')]"
7513,зраза,"[(0, 5, 'B-TYPE')]"
12829,мидия с томат,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O')]"
14999,ожа,"[(0, 3, 'O')]"
16598,пироок,"[(0, 6, 'B-TYPE')]"
10092,корн ерсы,"[(0, 8, 'B-BRAND')]"
8903,кефир детский без сахар,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 17, 'O'), (18, 24, 'O')]"
24430,фен tefal,"[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND')]"
19171,салатник univers,"[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]"
23094,творог ромашкин,"[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]"
9992,корм владный для собака,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 16, 'O'), (17, 22, 'O')]"
6532,ди монад,"[(0, 7, 'B-TYPE')]"
24337,фамильный торт,"[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]"
18468,ре по,"[(0, 4, 'B-TYPE')]"
2167,toffifee,"[(0, 8, 'B-BRAND')]"
6345,гялстуки,"[(0, 8, 'B-TYPE')]"
24341,фанагория брен,"[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]"
23552,томатный соус,"[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]"
24277,универсальный приправа,"[(0, 13, 'B-TYPE'), (14, 22, 'I-TYPE')]"
16786,плёнка для запекание,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 20, 'O')]"
27091,яйцо ud83c udf73,"[(0, 16, 'B-TYPE')]"
9464,кол гот opi,"[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]"
17464,премиум х,"[(0, 7, 'B-BRAND'), (8, 9, 'B-TYPE')]"
2624,анан ансы,"[(0, 8, 'B-TYPE')]"
18349,растительный масл,"[(0, 12, 'B-TYPE'), (13, 17, 'I-TYPE')]"
19014,с лавенй,"[(0, 1, 'O'), (2, 8, 'O')]"
21490,спирт,"[(0, 5, 'B-TYPE')]"
15219,орех кешью,"[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]"
8603,картошкпа,"[(0, 9, 'B-TYPE')]"
12457,маска тканевый,"[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]"
18768,рпзрыхлитель,"[(0, 12, 'B-TYPE')]"
19237,салфетка из микрофибры,"[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 22, 'O')]"
21306,соус бургерный,"[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]"
20005,сем ячеи,"[(0, 7, 'B-TYPE')]"
5207,выпечка,"[(0, 7, 'B-TYPE')]"
21173,сопагети,"[(0, 8, 'B-TYPE')]"
9857,копчёный колбаса,"[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]"
6969,желе без сахар,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]"
9942,корзиночка серна,"[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]"
18864,ручка,"[(0, 5, 'B-TYPE')]"
24096,тыквенный,"[(0, 9, 'B-TYPE')]"
8654,кастрюля el,"[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]"
15144,онфты шоколница,"[(0, 5, 'O'), (6, 15, 'O')]"
25136,хлебец карамельный,"[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]"
22610,сыробогатоы,"[(0, 11, 'B-TYPE')]"
18419,редис fresco,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]"
14190,надувной игрушк,"[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]"
19684,сгон multidom,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]"
4496,вастэко завтрак,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]"
4307,ванили айдиго,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
3520,бисокс бюстгальтер,"[(0, 6, 'B-BRAND'), (7, 19, 'B-TYPE')]"
11275,лавашь,"[(0, 6, 'B-TYPE')]"
18417,редис fres,"[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]"
12860,милка,"[(0, 5, 'B-BRAND')]"
20379,слив кип,"[(0, 7, 'B-TYPE')]"
21939,сулугуниж,"[(0, 9, 'B-TYPE')]"
2078,solo,"[(0, 4, 'B-BRAND')]"
18115,пылесос,"[(0, 8, 'B-TYPE')]"
8468,карн,"[(0, 4, 'B-TYPE')]"
2183,trilobit пан,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]"
23249,теи яки,"[(0, 6, 'B-TYPE')]"
13875,мчя,"[(0, 3, 'B-TYPE')]"
2522,айо ан,"[(0, 5, 'B-TYPE')]"
9976,корицв,"[(0, 6, 'B-TYPE')]"
7476,золотой стандарт,"[(0, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]"
22186,суша,"[(0, 4, 'B-TYPE')]"
15967,пельнемени,"[(0, 10, 'B-TYPE')]"
18709,роллер levran,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
16728,плавленные,"[(0, 10, 'B-TYPE')]"
9050,ккартофель,"[(0, 10, 'B-TYPE')]"
23694,торт 9,"[(0, 5, 'B-TYPE')]"
1222,kotanyi ша фр,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]"
20063,сетка для шашлык,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]"
20993,сок яблочный сад,"[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE'), (13, 16, 'O')]"
17088,полу копченая колбаса,"[(0, 12, 'B-TYPE'), (13, 20, 'I-TYPE')]"
2154,thun кофейн,"[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]"
7259,за печеное,"[(0, 9, 'B-TYPE')]"
26529,щётка collonil,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]"
2298,vitek мультиварка,"[(0, 5, 'B-BRAND'), (6, 17, 'B-TYPE')]"
13727,мсыр,"[(0, 4, 'B-TYPE')]"
8977,кириеш,"[(0, 6, 'B-BRAND')]"
8350,капучино,"[(0, 8, 'B-TYPE')]"
13995,мясник,"[(0, 7, 'B-TYPE')]"
12322,мариновянная,"[(0, 12, 'B-TYPE')]"
22693,сырокопчёный колбаса,"[(0, 12, 'B-TYPE'), (13, 20, 'I-TYPE')]"
17391,посдолнечное,"[(0, 12, 'B-TYPE')]"
20604,смет аг,"[(0, 6, 'B-TYPE')]"
13984,мякоть бедро,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
8899,кефир белый поляна,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]"
6728,дрожжи dr oetk,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]"
16345,печение крекер рыбка,"[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 20, 'I-TYPE')]"
12125,макоррны,"[(0, 8, 'B-TYPE')]"
11747,лук бел,"[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]"
24157,удит ка,"[(0, 6, 'B-TYPE')]"
205,barill,"[(0, 6, 'B-BRAND')]"
9026,кислородный,"[(0, 11, 'B-TYPE')]"
18402,ребрвшки,"[(0, 8, 'B-TYPE')]"
19526,свежий огурец,"[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]"
21908,судак за мороженны,"[(0, 5, 'B-TYPE'), (6, 17, 'I-TYPE')]"
18560,рис круглозерый,"[(0, 3, 'B-TYPE'), (4, 15, 'I-TYPE')]"
3538,бишьбармак,"[(0, 10, 'B-TYPE')]"
21464,специя для ку,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 13, 'O')]"
13370,морепродуктыр,"[(0, 13, 'B-TYPE')]"
10054,корм кошачий сухой,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 18, 'I-TYPE')]"
958,granbe,"[(0, 6, 'B-BRAND')]"
5701,гольф immagi,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
20927,сок детский ябло,"[(0, 3, 'B-TYPE'), (4, 11, 'O'), (12, 16, 'O')]"
1005,hals,"[(0, 4, 'B-BRAND')]"
22667,сырок 0,"[(0, 6, 'B-TYPE')]"
10709,кровет,"[(0, 6, 'B-TYPE')]"
22632,сыровяленый черкизов ск,"[(0, 11, 'B-TYPE'), (12, 22, 'B-BRAND')]"
16818,плоско губ,"[(0, 9, 'B-TYPE')]"
2771,арбузик,"[(0, 7, 'B-TYPE')]"
109,arivali,"[(0, 7, 'B-BRAND')]"
6800,еда для животное,"[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 16, 'O')]"
19842,сельд под шкбой,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]"
12753,мелкоштучный из дел,"[(0, 12, 'B-TYPE'), (13, 18, 'I-TYPE')]"
9905,корейка свиной,"[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]"
17321,поп крона,"[(0, 8, 'B-TYPE')]"
15218,орех грецкий,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]"
18551,рис к плов,"[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O')]"
14777,огарцв,"[(0, 6, 'B-TYPE')]"
22356,сыр маа,"[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]"
8109,казылык,"[(0, 7, 'B-TYPE')]"
2339,york скребо,"[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]"
26921,яблоко тенд,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
15090,оливка маслина,"[(0, 13, 'B-TYPE')]"
14378,нектаин,"[(0, 7, 'B-TYPE')]"
9332,колбаса к окрошка,"[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]"
4197,бутон,"[(0, 5, 'B-TYPE')]"
10362,краб ия,"[(0, 6, 'B-TYPE')]"
8117,какао гранулированн,"[(0, 5, 'B-TYPE'), (6, 19, 'I-TYPE')]"
13981,мяй,"[(0, 3, 'B-TYPE')]"
4045,булочка ситный,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
23378,тесто слое,"[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]"
23104,творог сернурский,"[(0, 6, 'B-TYPE'), (7, 17, 'B-BRAND')]"
8066,кабачкова,"[(0, 9, 'B-TYPE')]"
23353,тесто для пелеменей,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 19, 'O')]"
14729,овощной,"[(0, 7, 'B-TYPE')]"
25415,ципленок с овощ,"[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]"
24451,фен техичекие,"[(0, 4, 'O'), (5, 14, 'O')]"
12687,мёд имбирь лимон,"[(0, 3, 'B-TYPE'), (4, 10, 'O'), (11, 16, 'O')]"
1476,merries трусики,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]"
26716,энергети,"[(0, 8, 'B-TYPE')]"
5748,городецкий баранка,"[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]"
9264,коктелей,"[(0, 8, 'B-TYPE')]"
17546,приправа для ша,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 15, 'O')]"
4731,веьупицца,"[(0, 9, 'B-TYPE')]"
11150,курица голень,"[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]"
25623,чашка nouvel,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]"
23537,томатний,"[(0, 8, 'B-TYPE')]"
50,almeto,"[(0, 6, 'B-BRAND')]"
10130,коровка из кор,"[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 14, 'O')]"
23545,томатнпя,"[(0, 8, 'B-TYPE')]"
12669,машинка,"[(0, 7, 'B-TYPE')]"
1686,oral khhi,"[(0, 4, 'O'), (5, 9, 'O')]"
15350,отвёртка matri,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
4398,вареник доронич,"[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]"
7413,зернов,"[(0, 6, 'B-TYPE')]"
10448,красккю,"[(0, 7, 'B-TYPE')]"
25979,чливки,"[(0, 6, 'B-TYPE')]"
8182,калькулят,"[(0, 9, 'B-TYPE')]"
25665,чемечки,"[(0, 7, 'B-TYPE')]"
12310,маринованный,"[(0, 12, 'B-TYPE')]"
12509,масло sinte,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]"
21613,средство для стелка,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]"
5404,гантели ги,"[(0, 8, 'B-TYPE'), (9, 11, 'I-TYPE')]"
24870,хар чё,"[(0, 5, 'B-TYPE')]"
10439,краска лля воло,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]"
17148,помести,"[(0, 6, 'B-TYPE')]"
3198,ба тонн,"[(0, 6, 'B-TYPE')]"
5254,вяленые,"[(0, 7, 'B-TYPE')]"
4224,бытовой химия,"[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]"
10863,круп ска,"[(0, 7, 'B-TYPE')]"
8715,каша гречневый в банк,"[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE'), (15, 16, 'O'), (17, 22, 'O')]"
25606,чахохбили,"[(0, 9, 'B-TYPE')]"
23514,тома тв,"[(0, 6, 'B-TYPE')]"
9012,кисломолочный,"[(0, 13, 'B-TYPE')]"
20636,сметан ае,"[(0, 8, 'B-TYPE')]"
4828,виноград елоч,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
13578,морожно,"[(0, 7, 'B-TYPE')]"
5027,вода нега,"[(0, 4, 'B-TYPE'), (5, 8, 'I-TYPE')]"
24809,фэйри,"[(0, 5, 'B-BRAND')]"
11839,любтво,"[(0, 6, 'O')]"
15547,палочка хлебный,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
8583,кар тош,"[(0, 6, 'B-TYPE')]"
23557,томат,"[(0, 7, 'B-TYPE')]"
10351,кпртошка,"[(0, 8, 'B-TYPE')]"
12957,мини пряник,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
19853,сельдернй,"[(0, 9, 'B-TYPE')]"
20026,сераелат,"[(0, 8, 'B-TYPE')]"
21298,соу,"[(0, 3, 'B-TYPE')]"
17842,прочие колба,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
18817,руколло,"[(0, 7, 'B-TYPE')]"
21746,степл,"[(0, 5, 'B-TYPE')]"
16705,плавка disn,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
7110,жыачка,"[(0, 6, 'B-TYPE')]"
1223,kotanyi шафран,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]"
27219,яццо,"[(0, 4, 'B-TYPE')]"
3625,блокнот berlin,"[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]"
13106,моинез,"[(0, 6, 'B-TYPE')]"
12745,мелко,"[(0, 5, 'B-TYPE')]"
14059,мяч larsen,"[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND')]"
9929,корзинка с вишня,"[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]"
20745,снежок,"[(0, 6, 'B-TYPE')]"
930,glo,"[(0, 3, 'B-BRAND')]"
17814,про че,"[(0, 5, 'B-TYPE')]"
19219,салфек,"[(0, 6, 'B-TYPE')]"
16883,поводок triol,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
6002,грец орех,"[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]"
25117,хлебр,"[(0, 5, 'B-TYPE')]"
24587,фонарь эр,"[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]"
982,greenfil,"[(0, 8, 'B-BRAND')]"
5023,вода минеральный,"[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE')]"
8546,картофельный,"[(0, 11, 'B-TYPE')]"
24347,фар аделла,"[(0, 9, 'B-BRAND')]"
26271,шнитцель,"[(0, 8, 'B-TYPE')]"
3785,бреф,"[(0, 4, 'B-BRAND')]"
17156,помидары,"[(0, 8, 'B-TYPE')]"
4752,видёоигры,"[(0, 9, 'B-TYPE')]"
18347,растительный,"[(0, 12, 'B-TYPE')]"
8898,кефир ам ама,"[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 11, 'O')]"
15278,освеэитель,"[(0, 10, 'B-TYPE')]"
17020,подушка для стирка,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]"
11216,кусковой mait,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
12495,маслина производст,"[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND')]"
16718,плавка приз,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
22675,сырокз,"[(0, 6, 'B-TYPE')]"
8395,карамельный,"[(0, 11, 'B-TYPE')]"
10311,кофейник thun,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
24592,фонарь эра,"[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]"
15004,оидор консервированые,"[(0, 5, 'O'), (6, 21, 'O')]"
25307,хруасаны,"[(0, 8, 'B-TYPE')]"
16430,печёнка,"[(0, 7, 'B-TYPE')]"
10062,корм паштет,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]"
16329,печение в шоколад,"[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O')]"
25512,чай зелёный в пакетиках,"[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 13, 'O'), (14, 23, 'O')]"
26093,шампиньон,"[(0, 11, 'B-TYPE')]"
4671,вет чена,"[(0, 7, 'B-TYPE')]"
25146,хлебец,"[(0, 7, 'B-TYPE')]"
49,almeta,"[(0, 6, 'B-BRAND')]"
16737,плавленый сыр,"[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]"
24370,фарш иров,"[(0, 8, 'B-TYPE')]"
22926,тарелка chameleon,"[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND')]"
24133,тёрка,"[(0, 5, 'B-TYPE')]"
13312,молочный ул ун,"[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]"
20759,снежок,"[(0, 7, 'B-TYPE')]"
24696,фруктовый пастилки,"[(0, 9, 'B-TYPE'), (10, 18, 'I-TYPE')]"
12505,маслмны,"[(0, 7, 'B-TYPE')]"
15716,паста творожный,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]"
16441,пи амид,"[(0, 6, 'O')]"
18365,растя житель salt,"[(0, 11, 'B-TYPE'), (12, 16, 'B-BRAND')]"
18740,рос жиг,"[(0, 6, 'B-BRAND')]"
10663,крепко соленая рыба,"[(0, 13, 'B-TYPE'), (14, 17, 'I-TYPE')]"
4323,ванилиный,"[(0, 9, 'B-TYPE')]"
10257,кофе зерновой,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
11611,лип тон,"[(0, 6, 'B-BRAND')]"
16950,подогревать техника,"[(0, 13, 'B-TYPE'), (14, 21, 'I-TYPE')]"
16488,пижама сороч,"[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]"
26970,ягодный,"[(0, 7, 'B-TYPE')]"
9338,колбаса краковский,"[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]"
12361,мармелад с й,"[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 12, 'O')]"
14143,наггесы,"[(0, 7, 'B-TYPE')]"
22378,сыр плав,"[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]"
7660,икра баклажанов ая,"[(0, 4, 'B-TYPE'), (5, 17, 'I-TYPE')]"
11614,лиронас крекер,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]"
15094,оливков,"[(0, 7, 'B-TYPE')]"
26454,шпинат,"[(0, 7, 'B-TYPE')]"
5948,граппа,"[(0, 6, 'B-TYPE')]"
18993,ряженоковый,"[(0, 11, 'B-TYPE')]"
21588,средство для мыться,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]"
8951,ким но ск,"[(0, 3, 'B-BRAND'), (4, 8, 'B-TYPE')]"
26496,штповник,"[(0, 8, 'B-TYPE')]"
5885,горянка,"[(0, 7, 'B-TYPE')]"
1697,orin,"[(0, 4, 'B-BRAND')]"
16054,переноска да рэл,"[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]"
5751,гороошек,"[(0, 8, 'B-TYPE')]"
21429,спагнети,"[(0, 8, 'B-TYPE')]"
8220,канцелярский кле,"[(0, 12, 'B-TYPE'), (13, 16, 'I-TYPE')]"
12146,малиновпя,"[(0, 9, 'B-TYPE')]"
25177,хлопуш,"[(0, 6, 'B-TYPE')]"
11089,курагп,"[(0, 6, 'B-TYPE')]"
1989,seeberger чечевица,"[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]"
12675,мвитлогорье,"[(0, 11, 'B-TYPE')]"
